-4.0000000000,-1.0000000000,0.0000000000|0.5000000000,-1.0000000000,0.0000000000
0.5000000000,-1.0000000000,0.0000000000|0.5000000000,1.7483314774,0.0000000000
0.5000000000,1.7483314774,0.0000000000|-0.8817210276,-3.0000000000,0.0000000000

-4.0000000000,-1.0000000000,0.0000000000|0.6114253688,-0.8885746312,-0.0365121791
0.6114253688,-0.8885746312,-0.0365121791|0.6744681388,1.7204993325,-0.0571702117
0.6744681388,1.7204993325,-0.0571702117|-0.8906646196,-2.9999998711,0.0008794326

-4.0000000000,-1.0000000000,0.0000000000|0.5053591240,-0.9946408760,-0.1336323809
0.5053591240,-0.9946408760,-0.1336323809|0.5086157545,1.7431740744,-0.2148380563
0.5086157545,1.7431740744,-0.2148380563|-0.8882664916,-2.9999924145,-0.0067463346

-4.0000000000,-1.0000000000,0.0000000000|0.3956428978,-1.1043571022,0.2213883666
0.3956428978,-1.1043571022,0.2213883666|0.3276546966,1.7593852545,0.3656219309
0.3276546966,1.7593852545,0.3656219309|-0.9148628598,-2.9999112011,0.0230821417

-4.0000000000,-1.0000000000,0.0000000000|0.4746419672,-1.0253580328,0.2898618747
0.4746419672,-1.0253580328,0.2898618747|0.4589968786,1.7353517693,0.4686973043
0.4589968786,1.7353517693,0.4686973043|-0.9151696388,-2.9999905215,0.0075412713

-4.0000000000,-1.0000000000,0.0000000000|0.5152798375,-0.9847201625,0.1270824203
0.5152798375,-0.9847201625,0.1270824203|0.5245045889,1.7412469445,0.2038046856
0.5245045889,1.7412469445,0.2038046856|-0.8873558700,-2.9999947468,0.0056142132

-4.0000000000,-1.0000000000,0.0000000000|0.5868835184,-0.9131164816,-0.3038950170
0.5868835184,-0.9131164816,-0.3038950170|0.6365152045,1.7071130764,-0.4774932134
0.6365152045,1.7071130764,-0.4774932134|-0.9289558552,-2.9999263554,0.0210205232

-4.0000000000,-1.0000000000,0.0000000000|0.2639618967,-1.2360381033,-0.2559379125
0.2639618967,-1.2360381033,-0.2559379125|0.0971444853,1.7774714763,-0.4368193016
0.0971444853,1.7774714763,-0.4368193016|-0.9660452320,-2.9997016535,-0.0423082721

-4.0000000000,-1.0000000000,0.0000000000|0.5898044345,-0.9101955655,0.1839540685
0.5898044345,-0.9101955655,0.1839540685|0.6412498226,1.7191208149,0.2893340367
0.6412498226,1.7191208149,0.2893340367|-0.9014900415,-2.9999954030,-0.0052518645

-4.0000000000,-1.0000000000,0.0000000000|0.4374921031,-1.0625078969,-0.1051327894
0.4374921031,-1.0625078969,-0.1051327894|0.3977393734,1.7595743172,-0.1719933873
0.3977393734,1.7595743172,-0.1719933873|-0.8935934276,-2.9999803051,-0.0108705505

-4.0000000000,-1.0000000000,0.0000000000|0.4247974843,-1.0752025157,-0.3019175655
0.4247974843,-1.0752025157,-0.3019175655|0.3768812871,1.7441109916,-0.4942880126
0.3768812871,1.7441109916,-0.4942880126|-0.9229076999,-2.9999535211,-0.0166994327

-4.0000000000,-1.0000000000,0.0000000000|0.6737582718,-0.8262417282,-0.0253000103
0.6737582718,-0.8262417282,-0.0253000103|0.7678104962,1.7035794859,-0.0389944504
0.7678104962,1.7035794859,-0.0389944504|-0.9099267946,-2.9999993025,0.0020456974

-4.0000000000,-1.0000000000,0.0000000000|0.3583764957,-1.1416235043,0.0151200953
0.3583764957,-1.1416235043,0.0151200953|0.2635230400,1.7774334285,0.0252468980
0.2635230400,1.7774334285,0.0252468980|-0.9118679735,-2.9999990182,0.0024271125

-4.0000000000,-1.0000000000,0.0000000000|0.5698073021,-0.9301926979,0.2370987063
0.5698073021,-0.9301926979,0.2370987063|0.6102804632,1.7193087436,0.3745647575
0.6102804632,1.7193087436,0.3745647575|-0.9083374785,-2.9999927421,-0.0065990225

